Student,Teacher,Gender,Ethnic,Freeredu,Score,wesson
125,2,2,4,1,73,0
126,2,1,3,2,74,0
127,2,2,4,1,60,0
128,2,2,1,2,53,0
129,2,1,4,2,60,0
130,2,2,1,1,65,0
131,2,2,1,2,52,0
132,2,2,2,2,48,0
133,2,1,4,2,95,0
134,2,1,1,2,86,0
135,2,2,3,2,82,0
136,2,2,2,1,60,0
137,2,1,3,2,84,0
138,2,2,1,2,53,0
139,2,1,1,2,71,0
140,2,2,3,1,59,0
141,3,2,4,2,51,1
142,3,2,3,1,71,1
143,3,2,2,1,77,1
144,3,1,1,2,85,1
145,3,1,4,2,89,1
146,3,2,1,1,62,1
147,3,2,3,1,59,1
148,3,2,1,1,61,1
149,3,2,2,1,89,1
150,3,2,2,2,61,1
151,3,2,2,1,93,1
152,3,2,4,1,70,1
153,3,1,4,1,61,1
154,3,2,2,2,46,1
155,3,1,3,1,52,1
156,3,1,1,1,82,1
157,3,2,4,1,59,1
158,3,1,3,2,78,1
159,3,2,2,1,73,1
160,3,1,1,1,93,1
161,3,1,3,1,88,1
162,3,2,4,1,63,1
163,3,2,1,1,79,1
164,3,2,3,2,57,1
165,3,1,4,2,91,1
166,3,1,3,1,76,1
167,3,2,4,1,68,1
168,3,2,2,2,85,1
169,3,1,3,1,53,1
170,3,2,2,2,48,1
171,3,2,3,1,53,1
172,3,2,1,1,66,1
173,3,1,3,2,83,1
174,3,1,1,1,65,1
175,3,1,3,1,58,1
176,3,2,3,2,67,1
177,3,2,3,2,57,1
178,3,1,1,1,82,1
179,3,1,4,2,58,1
180,3,1,2,1,87,1
181,3,1,3,1,68,1
182,3,1,1,1,70,1
183,3,1,2,1,63,1
184,3,2,1,1,52,1
185,3,2,3,1,72,1
186,3,1,2,1,83,1
187,3,2,4,1,45,1
188,3,2,3,2,81,1
189,3,1,2,2,65,1
190,3,2,2,1,89,1
191,3,1,4,2,64,1
192,3,1,1,2,85,1
193,3,2,4,2,90,1
194,3,1,3,1,64,1
195,3,1,4,2,68,1
196,3,1,3,2,84,1
197,3,1,2,1,83,1
198,3,1,1,2,93,1
199,3,2,4,2,47,1
200,3,1,3,1,83,1
201,3,1,1,1,53,1
202,3,2,4,2,79,1
203,3,2,1,1,87,1
204,3,2,2,2,89,1
205,3,1,1,2,56,1
206,3,1,3,2,83,1
207,3,2,4,2,45,1
208,3,2,4,2,75,1
209,3,1,4,1,58,1
210,3,1,2,1,72,1
211,3,2,4,2,79,1
212,3,2,2,2,56,1
213,3,2,3,1,94,1
214,3,2,3,2,91,1
215,3,1,2,2,53,1
216,3,2,3,2,57,1
NA,NA,NA,NA,NA,NA,0
